XVIII	20524	1607523	6
XVIII	1676524	2320523	6
XVIII	2389524	3677523	6
XVIII	3792524	3999523	6
XVIII	4045524	5264523	6
XVIII	5333524	5379523	8
XVIII	5379524	5655523	6
XVIII	5724524	14073523	6
XVIII	14073524	14096523	11
XVIII	14096524	16281523	6
XV	11540	379539	6
XV	379540	494539	2
XV	494540	563539	1
XV	563540	724539	2
XV	724540	1069539	6
XV	1115540	1437539	2
XV	1437540	1690539	6
XV	1690540	1782539	2
XV	1782540	2909539	6
XV	2909540	3093539	9
XV	3139540	3668539	6
XV	3668540	3760539	11
XV	3760540	4036539	6
XV	4036540	4450539	9
XV	4450540	5485539	6
XV	5485540	5554539	2
XV	5554540	7003539	6
XV	7003540	7164539	9
XV	7164540	7325539	6
XV	7325540	7923539	9
XV	7923540	8429539	1
XV	8429540	8613539	7
XV	8613540	9717539	6
XV	9717540	10430539	1
XV	10430540	12385539	6
XV	12385540	12477539	9
XV	12477540	12684539	6
XV	12937540	13512539	6
XV	13627540	13949539	6
XV	14018540	15053539	6
XV	15306540	15467539	6
XV	15467540	15559539	2
XV	15559540	16203539	6
XX	31171	1112170	9
XX	1204171	2308170	9
XX	2308171	2354170	6
XX	2354171	3113170	9
XX	3113171	3596170	6
XX	3596171	4286170	9
XX	4286171	4355170	4
XX	4355171	5390170	9
XX	5390171	5574170	6
XX	5574171	11209170	9
XX	11209171	11278170	10
XX	11278171	12267170	9
XX	12267171	12428170	5
XX	12428171	14107170	9
XX	14107171	14245170	1
XX	14245171	17971170	9
XX	17971171	18201170	6
XX	18201171	18270170	5
XX	18270171	18477170	6
XX	18523171	18799170	6
XX	18799171	19535170	9
XX	19604171	19696170	6
X	21044	228043	9
X	481044	688043	7
X	941044	1148043	10
X	1148044	4092043	9
X	4161044	5656043	9
X	5817044	10302043	9
X	10394044	10923043	9
X	11038044	15592043	9
XVI	23455	736454	7
XVI	1288455	4301454	7
XVI	4370455	4646454	7
XVI	4807455	5244454	7
XVI	5405455	6808454	7
XVI	6854455	12627454	7
XVI	12673455	14605454	7
XVI	14743455	15548454	7
XVI	15640455	17020454	7
XVI	17135455	18101454	7
VI	22414	390413	11
VI	390414	482413	7
VI	482414	620413	8
VI	620414	5611413	11
VI	5726414	6692413	11
VI	6784414	10165413	11
VI	10257414	11913413	11
VI	11913414	12051413	7
VI	12051414	13132413	11
VI	13132414	13224413	6
VI	13224414	14489413	11
VI	14489414	14696413	7
VI	14880414	15455413	11
VI	15455414	15662413	7
VI	15662414	15777413	6
VI	15777414	15846413	11
VI	15984414	16076413	8
VI	16076414	16237413	7
VI	16237414	16260413	8
VI	16260414	16283413	7
VI	16283414	16306413	8
VI	16306414	16329413	7
VI	16329414	17065413	11
V	40807	63806	11
V	63807	178806	5
V	178807	2110806	11
V	2110807	2432806	5
V	2432807	2570806	11
V	2570807	2800806	5
V	2938807	3651806	5
V	3651807	3766806	11
V	3766807	3812806	5
V	3812807	3904806	11
V	3904807	4824806	5
V	4824807	4962806	11
V	4962807	5905806	5
V	5905807	5997806	11
V	5997807	7354806	5
V	7423807	7699806	11
V	7699807	8320806	5
V	8320807	8987806	11
V	8987807	11747806	5
V	11747807	11977806	11
V	11977807	12138806	5
V	12138807	12253806	11
IX	63759	247758	2
IX	247759	316758	4
IX	316759	615758	2
IX	615759	1029758	5
IX	1167759	2248758	2
IX	2248759	2547758	11
IX	2685759	2892758	11
IX	2938759	3398758	2
IX	3858759	4295758	2
IX	4295759	5330758	5
IX	5330759	7699758	2
IX	7699759	7768758	4
IX	7768759	9033758	2
IX	9148759	9286758	4
IX	9286759	9861758	2
IX	9861759	9953758	11
IX	9953759	10689758	5
IX	10689759	10919758	11
IX	10919759	10988758	5
IX	10988759	11080758	11
IX	11080759	11609758	2
IX	11770759	11977758	2
IX	12092759	12552758	2
IX	12552759	13058758	5
IX	13058759	13748758	2
IX	13748759	13817758	5
IX	13817759	14231758	11
IX	14231759	15933758	5
IX	15933759	16002758	11
IX	16002759	18187758	5
IX	18187759	19429758	11
IX	19429759	19475758	5
IX	19475759	19544758	11
IX	19544759	19912758	5
IX	19912759	20234758	11
XI	17063	4410062	5
XI	4456063	16715062	5
IV	15402	590401	2
IV	728402	1648401	2
IV	1694402	7007401	2
IV	7352402	7628401	2
IV	7743402	8640401	2
IV	8732402	9882401	2
IV	9928402	13677401	2
IV	13746402	14689401	2
IV	14781402	15333401	2
IV	15425402	17127401	2
IV	17541402	17817401	2
IV	17817402	20485401	12
IV	20554402	21060401	12
IV	21152402	22532401	12
IV	22532402	22716401	2
IV	22716402	23429401	12
IV	23429402	23475401	4
IV	23475402	25959401	12
IV	25959402	26741401	2
IV	27477402	27960401	2
IV	28236402	28328401	2
IV	28328402	29179401	12
IV	29294402	30283401	12
IV	30352402	32583401	12
VII	12952	1346951	2
VII	1346952	2059951	1
VII	2059952	2128951	9
VII	2128952	2174951	1
VII	2174952	2841951	2
VII	2841952	3048951	1
VII	3048952	3577951	2
VII	3761952	3991951	2
VII	3991952	4175951	10
VII	4175952	4290951	2
VII	4290952	4359951	10
VII	4359952	4658951	2
VII	4658952	4704951	7
VII	4704952	5440951	2
